[2025-07-18 00:49:39] [INFO    ] discord.client: logging in using static token
[2025-07-18 00:49:42] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-07-18 00:49:42] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-07-18 00:49:42] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1395315753925738626', 'username': 'Foodie', 'avatar': None, 'discriminator': '6415', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-07-18 00:49:43] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-07-18 00:49:43] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-07-18 00:49:43] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1395315753925738626', 'name': 'Foodie', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1395315753925738626', 'username': 'Foodie', 'avatar': None, 'discriminator': '6415', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': 'd73d6fa0f0c3096f3b964711fda9516053bffb4d33e491e6b4246f9549932642', 'flags': 8945664, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '612141684565999619', 'username': 'magikarp088', 'avatar': '9ab3e93e02f0a5a3aa35495a05d275c9', 'discriminator': '0', 'public_flags': 256, 'flags': 256, 'banner': None, 'accent_color': 861267, 'global_name': 'magikarp', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#0d2453', 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 480, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': []}
[2025-07-18 00:49:44] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-07-18 00:49:44] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-d-1pkb",{"micros":0.0}]']}}
[2025-07-18 00:49:44] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-07-18 00:49:45] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-07-18 00:49:45] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Foodie', 'primary_guild': None, 'mfa_enabled': False, 'id': '1395315753925738626', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '6415', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '17d2a2f4a9e1aaa20f799c8a3c1d661d', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1395311222643101727'}, {'unavailable': True, 'id': '1395440197784698940'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['hongkong', 'singapore', 'japan', 'india', 'sydney'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1395315753925738626', 'flags': 8945664}, '_trace': ['["gateway-prd-us-east1-d-1pkb",{"micros":94378,"calls":["id_created",{"micros":586,"calls":[]},"session_lookup_time",{"micros":315,"calls":[]},"session_lookup_finished",{"micros":13,"calls":[]},"discord-sessions-prd-2-162",{"micros":93193,"calls":["start_session",{"micros":79183,"calls":["discord-api-rpc-6ddbcd9dc4-4nlg9",{"micros":60788,"calls":["get_user",{"micros":6439},"get_guilds",{"micros":4695},"send_scheduled_deletion_message",{"micros":15},"guild_join_requests",{"micros":2015},"authorized_ip_coro",{"micros":24},"pending_payments",{"micros":8670},"apex_experiments",{"micros":1169},"user_activities",{"micros":5},"played_application_ids",{"micros":3}]}]},"starting_guild_connect",{"micros":43,"calls":[]},"presence_started",{"micros":3137,"calls":[]},"guilds_started",{"micros":109,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":2,"calls":[]},"presence_connect",{"micros":10686,"calls":[]},"connect_finished",{"micros":10704,"calls":[]},"build_ready",{"micros":14,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-07-18 00:49:45] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-18 00:49:45] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 17d2a2f4a9e1aaa20f799c8a3c1d661d).
[2025-07-18 00:49:45] [DEBUG   ] discord.client: Dispatching event connect
[2025-07-18 00:49:45] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'features': [], 'icon': None, 'owner_id': '612141684565999619', 'member_count': 2, 'mfa_level': 0, 'embedded_activities': [], 'premium_subscription_count': 0, 'rules_channel_id': None, 'premium_features': None, 'profile': None, 'system_channel_id': '1395440198602719234', 'stage_instances': [], 'hub_type': None, 'default_message_notifications': 0, 'nsfw_level': 0, 'explicit_content_filter': 0, 'id': '1395440197784698940', 'name': "magikarp's 2 server", 'region': 'deprecated', 'activity_instances': [], 'unavailable': False, 'stickers': [], 'lazy': True, 'members': [{'user': {'username': 'Foodie', 'public_flags': 0, 'primary_guild': None, 'id': '1395315753925738626', 'global_name': None, 'display_name': None, 'discriminator': '6415', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1395440278088978505'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-17T16:21:28.401717+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'large': False, 'afk_channel_id': None, 'emojis': [], 'verification_level': 0, 'threads': [], 'presences': [], 'nsfw': False, 'channels': [{'version': 1752769269374, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text channels', 'id': '1395440198602719232', 'flags': 0}, {'version': 1752769269377, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice channels', 'id': '1395440198602719233', 'flags': 0}, {'version': 1752769269384, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1395440198602719232', 'name': 'general', 'last_message_id': '1395446391911747745', 'id': '1395440198602719234', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1752769269395, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1395440198602719233', 'name': 'General', 'last_message_id': None, 'id': '1395440198602719235', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}], 'description': None, 'premium_tier': 0, 'application_id': None, 'home_header': None, 'public_updates_channel_id': None, 'application_command_counts': {}, 'roles': [{'version': 1752769269365, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1395440197784698940', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1752769288375, 'unicode_emoji': None, 'tags': {'bot_id': '1395315753925738626'}, 'position': 1, 'permissions': '1689865888857152', 'name': 'Foodie', 'mentionable': False, 'managed': True, 'id': '1395440278088978505', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'latest_onboarding_question_id': None, 'soundboard_sounds': [], 'inventory_settings': None, 'banner': None, 'max_stage_video_channel_users': 50, 'afk_timeout': 300, 'guild_scheduled_events': [], 'moderator_reporting': None, 'splash': None, 'max_members': 2500000, 'premium_progress_bar_enabled': False, 'safety_alerts_channel_id': None, 'discovery_splash': None, 'version': 1752769269400, 'max_video_channel_users': 25, 'owner_configured_content_level': 0, 'voice_states': [], 'system_channel_flags': 0, 'joined_at': '2025-07-17T16:21:28.401717+00:00', 'vanity_url_code': None, 'incidents_data': None, 'preferred_locale': 'en-US'}}
[2025-07-18 00:49:45] [DEBUG   ] discord.client: Dispatching event socket_event_type
